transaction_id,account_id,amount,currency,status,merchant,payment_method,timestamp
txn_e12624e70fd8,acc_00049,284.27,SGD,completed,Guardian,paynow,2026-08-05T00:18:57Z
txn_b5ae51a3aaba,acc_00405,503.65,SGD,denied,Shopee,grabpay,2026-08-05T00:19:05Z
txn_70e68dfe9e2e,acc_00481,833.61,SGD,pending,7-Eleven,paynow,2026-08-05T00:19:33Z
txn_5f6b280e2ae4,acc_00012,796.53,SGD,completed,Watsons,applepay,2026-08-05T00:19:55Z
txn_28330d994d1a,acc_00203,119.96,SGD,pending,7-Eleven,card,2026-08-05T00:20:20Z
txn_993749daabb4,acc_00392,749.87,SGD,pending,Starbucks,card,2026-08-05T00:20:30Z
txn_287f25ad3422,acc_00146,761.24,SGD,denied,7-Eleven,grabpay,2026-08-05T00:20:35Z
txn_9f21fb5c1cfe,acc_00493,47.88,SGD,completed,Guardian,grabpay,2026-08-05T00:20:43Z
txn_e30f24edc800,acc_00111,592.11,SGD,completed,7-Eleven,card,2026-08-05T00:21:02Z
txn_caf314a6b4dd,acc_00500,688.57,SGD,completed,Shopee,applepay,2026-08-05T00:21:30Z
txn_dabf046b53c8,acc_00293,325.95,SGD,denied,Guardian,card,2026-08-05T00:21:47Z
txn_cc1482e93795,acc_00409,234.37,SGD,denied,Cold Storage,googlepay,2026-08-05T00:22:10Z
txn_aba7d8567ff3,acc_00386,372.97,SGD,completed,NTUC FairPrice,googlepay,2026-08-05T00:22:20Z
txn_b0ae975c2ea5,acc_00165,203.05,SGD,completed,Cold Storage,grabpay,2026-08-05T00:22:25Z
txn_cdb71ac06af4,acc_00194,252.08,SGD,pending,Cold Storage,googlepay,2026-08-05T00:22:47Z
txn_d5925336bac0,acc_00282,637.78,SGD,completed,Cold Storage,googlepay,2026-08-05T00:22:51Z
txn_8a1e49f2a852,acc_00316,504.91,SGD,pending,7-Eleven,paynow,2026-08-05T00:23:18Z
txn_2f5d699f5f6a,acc_00085,518.84,SGD,completed,Watsons,applepay,2026-08-05T00:23:21Z
txn_6952d3c67787,acc_00452,579.10,MYR,completed,Watsons,paynow,2026-08-05T00:23:44Z
txn_1bfa55b2dd26,acc_00076,27.60,SGD,completed,Guardian,applepay,2026-08-05T00:24:04Z
txn_d96c1352ea48,acc_00338,473.14,SGD,completed,7-Eleven,googlepay,2026-08-05T00:24:07Z
txn_b27d180f251b,acc_00021,210.94,SGD,completed,Shopee,applepay,2026-08-05T00:24:27Z
txn_737270b71e3d,acc_00306,605.14,SGD,pending,Starbucks,card,2026-08-05T00:24:28Z
txn_34659ec2b655,acc_00091,266.49,SGD,pending,Shopee,card,2026-08-05T00:24:29Z
txn_a119cac4986b,acc_00316,98.77,SGD,completed,Guardian,card,2026-08-05T00:24:29Z
txn_12e6584a7ac2,acc_00029,280.08,SGD,completed,NTUC FairPrice,paynow,2026-08-05T00:24:47Z
txn_5b37a4963858,acc_00451,735.88,SGD,completed,Lazada,googlepay,2026-08-05T00:24:58Z
txn_8ba5cb679373,acc_00486,291.85,SGD,completed,NTUC FairPrice,applepay,2026-08-05T00:25:12Z
txn_cda0bef1ae07,acc_00083,288.82,MYR,denied,Starbucks,applepay,2026-08-05T00:25:18Z
txn_4f1bc82d2b47,acc_00137,562.65,SGD,completed,Lazada,grabpay,2026-08-05T00:25:48Z
txn_3b17618200b7,acc_00263,856.47,MYR,pending,Guardian,googlepay,2026-08-05T00:26:04Z
txn_922b09dd29f1,acc_00055,322.52,SGD,completed,Starbucks,grabpay,2026-08-05T00:26:10Z
txn_c0053c84cda1,acc_00270,389.88,SGD,completed,NTUC FairPrice,applepay,2026-08-05T00:26:12Z
txn_7c1ebb0d51c7,acc_00204,135.28,SGD,completed,Starbucks,grabpay,2026-08-05T00:26:37Z
txn_68df5751aa63,acc_00428,98.02,SGD,completed,Grab,applepay,2026-08-05T00:26:42Z
txn_e296950c1b98,acc_00020,554.95,SGD,completed,Cold Storage,googlepay,2026-08-05T00:26:57Z
txn_9cc1056d2f0d,acc_00100,435.24,MYR,completed,Starbucks,card,2026-08-05T00:27:48Z
txn_51298cdf27c6,acc_00438,386.59,SGD,pending,7-Eleven,paynow,2026-08-05T00:27:55Z
txn_9921d6aa590e,acc_00070,644.08,SGD,completed,Lazada,card,2026-08-05T00:28:02Z
txn_59d977220e1b,acc_00461,380.17,SGD,pending,Guardian,paynow,2026-08-05T00:28:06Z
txn_86f1a3bfab4a,acc_00034,140.72,SGD,completed,Grab,card,2026-08-05T00:29:22Z
txn_ebb4669ca07f,acc_00448,73.52,MYR,denied,7-Eleven,applepay,2026-08-05T00:29:45Z
txn_0e211f22f8fa,acc_00142,863.55,MYR,completed,Lazada,card,2026-08-05T00:30:03Z
txn_b12c613214a1,acc_00415,103.60,SGD,pending,Cold Storage,paynow,2026-08-05T00:30:46Z
txn_bc4ccb407828,acc_00134,136.45,SGD,completed,Guardian,card,2026-08-05T00:30:50Z
txn_4a004aacbafe,acc_00182,678.77,SGD,pending,Cold Storage,googlepay,2026-08-05T00:30:56Z
txn_54a60ef5b006,acc_00442,896.10,MYR,pending,McDonald's,grabpay,2026-08-05T00:31:41Z
txn_20e4d195e9f2,acc_00023,31.96,SGD,pending,Guardian,grabpay,2026-08-05T00:32:07Z
txn_117dbc0f1035,acc_00414,775.55,SGD,completed,NTUC FairPrice,googlepay,2026-08-05T00:32:14Z
txn_5f4d68fcde81,acc_00474,192.85,SGD,completed,NTUC FairPrice,card,2026-08-05T00:32:33Z
txn_71c98e8a1b88,acc_00476,28.34,SGD,pending,Guardian,applepay,2026-08-05T00:32:39Z
txn_61fe6e26fe96,acc_00113,710.87,SGD,completed,Grab,card,2026-08-05T00:33:16Z
txn_3a8230e88d40,acc_00441,844.52,SGD,pending,Watsons,paynow,2026-08-05T00:33:46Z
txn_f41e722d0a41,acc_00006,273.03,SGD,pending,Guardian,card,2026-08-05T00:33:47Z
txn_47cad05e3769,acc_00234,337.44,MYR,denied,McDonald's,applepay,2026-08-05T00:34:21Z
txn_9a91e301c78e,acc_00440,704.31,SGD,denied,Shopee,googlepay,2026-08-05T00:34:33Z
txn_08d703926dde,acc_00365,714.01,SGD,completed,Guardian,applepay,2026-08-05T00:34:51Z
txn_a1046c8b3ba4,acc_00230,11.91,SGD,completed,Starbucks,applepay,2026-08-05T00:35:01Z
txn_fd5c89c72c19,acc_00200,786.31,SGD,pending,7-Eleven,grabpay,2026-08-05T00:35:28Z
txn_6cb215921c81,acc_00470,564.16,SGD,completed,Guardian,paynow,2026-08-05T00:35:30Z
txn_2018bd08ae89,acc_00404,311.00,SGD,completed,Grab,applepay,2026-08-05T00:35:34Z
txn_e3db95f013d6,acc_00230,863.93,SGD,completed,Cold Storage,googlepay,2026-08-05T00:35:36Z
txn_0751ac669ce7,acc_00024,116.53,SGD,pending,Grab,googlepay,2026-08-05T00:35:47Z
txn_8d1bdbcf5973,acc_00406,487.64,SGD,pending,Watsons,applepay,2026-08-05T00:35:51Z
txn_abbeea62ff86,acc_00500,14.71,SGD,completed,Watsons,grabpay,2026-08-05T00:35:55Z
txn_984daef569fe,acc_00446,428.99,SGD,completed,NTUC FairPrice,grabpay,2026-08-05T00:36:19Z
txn_c0c59c39e9f2,acc_00074,47.64,SGD,completed,Cold Storage,grabpay,2026-08-05T00:36:44Z
txn_689bf1bd1c14,acc_00037,72.05,SGD,completed,Starbucks,grabpay,2026-08-05T00:36:56Z
txn_7fe09d19f4f0,acc_00231,258.36,MYR,completed,Starbucks,grabpay,2026-08-05T00:37:31Z
txn_f592d0b1d28a,acc_00389,419.26,SGD,completed,Shopee,googlepay,2026-08-05T00:37:33Z
txn_dbf467f46699,acc_00498,96.41,SGD,pending,Guardian,card,2026-08-05T00:37:43Z
txn_d67e35047bcf,acc_00122,574.58,SGD,completed,NTUC FairPrice,paynow,2026-08-05T00:37:52Z
txn_01882fb7e658,acc_00088,725.62,SGD,completed,Watsons,googlepay,2026-08-05T00:38:05Z
txn_896896f5dc59,acc_00390,795.85,SGD,pending,Grab,grabpay,2026-08-05T00:38:33Z
txn_81503b435f3e,acc_00237,540.17,SGD,completed,Lazada,paynow,2026-08-05T00:39:28Z
txn_cff828d2605e,acc_00021,358.54,SGD,denied,Guardian,card,2026-08-05T00:39:29Z
txn_d0281c475f01,acc_00397,704.18,SGD,denied,Guardian,applepay,2026-08-05T00:39:31Z
txn_692563fc141a,acc_00336,364.44,SGD,pending,Shopee,paynow,2026-08-05T00:39:31Z
txn_c97193f19352,acc_00450,189.30,SGD,completed,NTUC FairPrice,card,2026-08-05T00:39:42Z
txn_41040c82f8f6,acc_00086,216.40,SGD,pending,NTUC FairPrice,grabpay,2026-08-05T00:39:51Z
txn_7784e0385139,acc_00473,477.64,SGD,pending,Starbucks,paynow,2026-08-05T00:40:08Z
txn_3e9c5076f749,acc_00284,367.85,SGD,completed,Starbucks,paynow,2026-08-05T00:40:40Z
txn_f274964d87f9,acc_00428,470.16,MYR,completed,Watsons,googlepay,2026-08-05T00:40:53Z
txn_4a58807db609,acc_00235,265.24,SGD,pending,Lazada,card,2026-08-05T00:40:53Z
txn_d8871c09873b,acc_00181,527.66,SGD,completed,Shopee,applepay,2026-08-05T00:41:27Z
txn_d4b5f9aa2dda,acc_00229,530.69,SGD,completed,Cold Storage,card,2026-08-05T00:42:55Z
txn_7e73ed2f5fbd,acc_00467,619.97,SGD,completed,7-Eleven,paynow,2026-08-05T00:43:03Z
txn_b111a0d3483f,acc_00168,772.86,SGD,denied,Watsons,applepay,2026-08-05T00:43:11Z
txn_09969fc99446,acc_00378,541.07,SGD,denied,McDonald's,grabpay,2026-08-05T00:43:13Z
txn_c76b9239836b,acc_00429,288.15,SGD,completed,Grab,applepay,2026-08-05T00:43:25Z
txn_46b0d77c024e,acc_00404,430.30,SGD,completed,Lazada,googlepay,2026-08-05T00:43:25Z
txn_7ac62b0a0a6b,acc_00252,36.57,SGD,completed,Guardian,paynow,2026-08-05T00:43:32Z
txn_bf715ddfa14e,acc_00493,674.72,SGD,completed,Shopee,applepay,2026-08-05T00:43:38Z
txn_c042bde6070e,acc_00035,858.17,SGD,denied,Watsons,googlepay,2026-08-05T00:44:25Z
txn_ac81aad18878,acc_00115,586.00,SGD,completed,Lazada,paynow,2026-08-05T00:44:31Z
txn_1f4f1e2ee593,acc_00208,639.27,SGD,completed,Grab,applepay,2026-08-05T00:45:33Z
txn_f4558369b601,acc_00080,221.32,SGD,completed,Watsons,card,2026-08-05T00:46:19Z
txn_32f3f5ea58e4,acc_00092,475.54,SGD,completed,Grab,paynow,2026-08-05T00:46:19Z
txn_bbb074dbdfd5,acc_00469,685.74,SGD,pending,Starbucks,grabpay,2026-08-05T00:47:17Z
txn_55202513a821,acc_00168,516.52,SGD,denied,Watsons,grabpay,2026-08-05T00:47:44Z
txn_3724821dfced,acc_00254,760.54,SGD,pending,Grab,applepay,2026-08-05T00:47:57Z
txn_a15339a555b2,acc_00228,664.59,SGD,completed,Lazada,card,2026-08-05T00:48:08Z
txn_fc0bba1e8c56,acc_00126,192.12,SGD,pending,McDonald's,paynow,2026-08-05T00:48:36Z
txn_7c0135ff0046,acc_00148,674.17,SGD,pending,Watsons,googlepay,2026-08-05T00:48:52Z
txn_e0702ca8fe0a,acc_00032,400.19,SGD,pending,Starbucks,googlepay,2026-08-05T00:48:53Z
txn_162fbe1a4433,acc_00346,432.23,SGD,denied,Shopee,applepay,2026-08-05T00:49:02Z
txn_a022cd9bca9a,acc_00316,531.47,SGD,completed,Cold Storage,applepay,2026-08-05T00:49:16Z
txn_931a1ef6d469,acc_00380,741.40,SGD,completed,Starbucks,googlepay,2026-08-05T00:49:22Z
txn_e573fb2cf12b,acc_00392,707.03,SGD,completed,Grab,grabpay,2026-08-05T00:49:36Z
txn_5af938120404,acc_00405,388.52,SGD,completed,NTUC FairPrice,paynow,2026-08-05T00:50:07Z
txn_d1769718e838,acc_00428,563.94,SGD,completed,Shopee,googlepay,2026-08-05T00:50:09Z
txn_12df3f46814a,acc_00456,314.43,SGD,completed,7-Eleven,card,2026-08-05T00:50:21Z
txn_6231bf3d1312,acc_00336,179.07,SGD,completed,NTUC FairPrice,paynow,2026-08-05T00:50:30Z
txn_68aae37dfe8d,acc_00048,461.72,SGD,denied,7-Eleven,paynow,2026-08-05T00:51:09Z
txn_ce194e32f76d,acc_00075,43.50,SGD,denied,Grab,grabpay,2026-08-05T00:51:22Z
txn_9fa9f1132cfa,acc_00309,157.67,SGD,completed,Starbucks,applepay,2026-08-05T00:51:24Z
txn_c79bc433e8a2,acc_00071,261.48,SGD,denied,Grab,paynow,2026-08-05T00:51:31Z
txn_6b6397ed31be,acc_00163,580.13,SGD,denied,Starbucks,grabpay,2026-08-05T00:51:45Z
txn_6d3a4ef0b5d9,acc_00341,54.17,SGD,completed,7-Eleven,grabpay,2026-08-05T00:51:56Z
txn_94fc3e30b02a,acc_00310,813.98,SGD,pending,Cold Storage,grabpay,2026-08-05T00:52:09Z
txn_26c8174ce08d,acc_00376,810.64,SGD,completed,NTUC FairPrice,applepay,2026-08-05T00:52:13Z
txn_b0c871e53f4f,acc_00061,793.04,SGD,pending,Shopee,grabpay,2026-08-05T00:53:30Z
txn_bf577a148054,acc_00013,495.26,SGD,denied,7-Eleven,googlepay,2026-08-05T00:53:49Z
txn_e0620959a083,acc_00182,469.79,SGD,completed,McDonald's,applepay,2026-08-05T00:53:52Z
txn_6644992c4f38,acc_00222,369.53,SGD,completed,Cold Storage,applepay,2026-08-05T00:53:59Z
txn_031c2d5e2c4c,acc_00263,264.50,SGD,pending,Guardian,grabpay,2026-08-05T00:54:02Z
txn_cb86ac8b28bd,acc_00054,361.91,SGD,denied,Guardian,card,2026-08-05T00:54:25Z
txn_0ca344037b4f,acc_00408,5.59,SGD,completed,Starbucks,googlepay,2026-08-05T00:54:47Z
txn_ec49b1a6d064,acc_00380,363.04,SGD,pending,Watsons,paynow,2026-08-05T00:55:10Z
txn_0b16c769222f,acc_00147,790.03,SGD,completed,Watsons,card,2026-08-05T00:55:12Z
txn_c85adfb8c7b2,acc_00147,496.07,SGD,completed,McDonald's,applepay,2026-08-05T00:56:04Z
txn_55c1df01932b,acc_00045,266.86,MYR,pending,Lazada,card,2026-08-05T00:56:13Z
txn_9b2d0e39b0c0,acc_00084,379.16,SGD,completed,Starbucks,applepay,2026-08-05T00:56:36Z
txn_717860f5aeba,acc_00305,34.58,SGD,completed,Watsons,grabpay,2026-08-05T00:56:40Z
txn_3e08ca095740,acc_00206,404.20,SGD,completed,Watsons,paynow,2026-08-05T00:57:16Z
txn_cd0d89c0d174,acc_00116,726.97,SGD,denied,Guardian,googlepay,2026-08-05T00:57:21Z
txn_cd462025a95a,acc_00115,111.42,SGD,completed,Lazada,applepay,2026-08-05T00:57:25Z
txn_44f44c82a01f,acc_00180,389.78,SGD,completed,NTUC FairPrice,card,2026-08-05T00:57:34Z
txn_9bffa6cdf8eb,acc_00051,438.12,SGD,denied,Shopee,paynow,2026-08-05T00:57:45Z
txn_4564c5d86fbc,acc_00159,169.71,SGD,completed,Grab,applepay,2026-08-05T00:57:49Z
txn_963604341cc0,acc_00030,311.78,SGD,pending,Grab,paynow,2026-08-05T00:57:53Z
txn_9bcd8f160d5a,acc_00156,250.28,SGD,completed,Cold Storage,grabpay,2026-08-05T00:58:46Z
txn_ca4ecf11678a,acc_00478,508.55,MYR,denied,Shopee,googlepay,2026-08-05T00:58:47Z
txn_28b5bf1cd47d,acc_00261,818.59,SGD,pending,Grab,card,2026-08-05T00:59:20Z
txn_b448d253140a,acc_00068,179.07,SGD,completed,Watsons,grabpay,2026-08-05T00:59:21Z
txn_8285a00a54a3,acc_00454,184.85,SGD,pending,Guardian,card,2026-08-05T00:59:34Z
txn_e8a5b30adb38,acc_00395,90.46,MYR,denied,7-Eleven,applepay,2026-08-05T00:59:41Z
txn_068785612ea5,acc_00349,250.49,SGD,completed,NTUC FairPrice,card,2026-08-05T00:59:41Z
txn_a23b8e75c8f2,acc_00395,220.84,SGD,pending,McDonald's,googlepay,2026-08-05T00:59:44Z
txn_9b44441feb64,acc_00476,60.02,MYR,completed,Guardian,card,2026-08-05T00:59:49Z
txn_4bc6fab4a839,acc_00283,316.41,SGD,completed,Grab,grabpay,2026-08-05T00:59:57Z
txn_1ab4edf8e712,acc_00301,320.34,SGD,pending,McDonald's,grabpay,2026-08-05T01:00:04Z
txn_3640ce215129,acc_00206,123.07,SGD,denied,Grab,applepay,2026-08-05T01:00:37Z
txn_a34f70d27690,acc_00498,341.57,SGD,completed,7-Eleven,card,2026-08-05T01:01:29Z
txn_d905d0c84060,acc_00111,553.31,SGD,completed,Shopee,googlepay,2026-08-05T01:01:40Z
txn_313da21938bf,acc_00409,542.74,SGD,completed,McDonald's,applepay,2026-08-05T01:01:51Z
txn_675fdcaffe82,acc_00320,649.26,MYR,completed,Guardian,card,2026-08-05T01:01:58Z
txn_95e6108a883c,acc_00013,568.39,SGD,completed,Cold Storage,applepay,2026-08-05T01:01:59Z
txn_c455158ad8b1,acc_00162,244.50,SGD,completed,Lazada,googlepay,2026-08-05T01:02:25Z
txn_c26ff1aec6c1,acc_00168,808.38,SGD,completed,Cold Storage,applepay,2026-08-05T01:02:57Z
txn_3bebd3f02fb2,acc_00394,288.74,SGD,completed,Watsons,googlepay,2026-08-05T01:03:06Z
txn_91d4fc10df0b,acc_00324,615.97,SGD,completed,Cold Storage,applepay,2026-08-05T01:03:08Z
txn_5ff621719490,acc_00434,139.12,SGD,completed,NTUC FairPrice,card,2026-08-05T01:03:10Z
txn_350ce964c31d,acc_00390,571.28,SGD,pending,Shopee,grabpay,2026-08-05T01:03:14Z
txn_730e1f885385,acc_00119,718.48,SGD,completed,Starbucks,applepay,2026-08-05T01:03:46Z
txn_333b2ea75de5,acc_00201,747.30,SGD,completed,Lazada,paynow,2026-08-05T01:04:00Z
txn_c691e3c48fca,acc_00160,178.47,SGD,completed,Shopee,paynow,2026-08-05T01:04:01Z
txn_0402863cec13,acc_00124,874.05,SGD,completed,Starbucks,grabpay,2026-08-05T01:04:35Z
txn_c269606bb1e6,acc_00175,545.63,MYR,denied,Starbucks,grabpay,2026-08-05T01:04:43Z
txn_d097184e1c93,acc_00191,801.18,SGD,completed,Lazada,grabpay,2026-08-05T01:04:53Z
txn_37e08a577227,acc_00392,630.89,SGD,denied,Starbucks,applepay,2026-08-05T01:04:58Z
txn_806f05f72e62,acc_00499,401.05,SGD,completed,7-Eleven,grabpay,2026-08-05T01:05:14Z
txn_b03c8245cba5,acc_00205,580.08,SGD,completed,NTUC FairPrice,grabpay,2026-08-05T01:05:18Z
txn_be49e8bcb7bf,acc_00105,293.23,SGD,completed,Starbucks,applepay,2026-08-05T01:05:28Z
txn_17f4f6176a77,acc_00380,728.94,SGD,completed,Grab,paynow,2026-08-05T01:05:29Z
txn_9b2009d4398c,acc_00423,890.91,SGD,completed,Grab,grabpay,2026-08-05T01:05:34Z
txn_f7919d61dbb3,acc_00090,587.02,SGD,completed,Watsons,grabpay,2026-08-05T01:05:57Z
txn_0c7924a3ceb0,acc_00457,398.02,SGD,denied,Shopee,applepay,2026-08-05T01:06:16Z
txn_53b10084a094,acc_00333,704.48,MYR,denied,Starbucks,paynow,2026-08-05T01:06:34Z
txn_b4ebd361fa52,acc_00053,730.24,SGD,completed,Watsons,applepay,2026-08-05T01:06:35Z
txn_f321349de145,acc_00141,333.09,SGD,denied,Starbucks,card,2026-08-05T01:06:45Z
txn_35e10a9bff29,acc_00224,366.81,SGD,completed,Starbucks,applepay,2026-08-05T01:06:50Z
txn_ff2068c738ac,acc_00310,255.89,MYR,denied,Lazada,card,2026-08-05T01:06:54Z
txn_430db02ef63c,acc_00423,190.29,SGD,completed,NTUC FairPrice,card,2026-08-05T01:07:56Z
txn_25cc3cfe6a21,acc_00106,342.94,SGD,denied,NTUC FairPrice,grabpay,2026-08-05T01:08:23Z
txn_d61d153307ab,acc_00021,247.37,SGD,completed,7-Eleven,googlepay,2026-08-05T01:08:32Z
txn_07ee229a84ed,acc_00471,431.89,MYR,denied,NTUC FairPrice,applepay,2026-08-05T01:08:51Z
txn_c01598269ca0,acc_00246,155.53,MYR,pending,Shopee,paynow,2026-08-05T01:08:58Z
txn_bdbaa7ee5cca,acc_00098,258.19,SGD,pending,Starbucks,grabpay,2026-08-05T01:09:02Z
txn_06b5ef50a330,acc_00125,784.45,SGD,denied,7-Eleven,googlepay,2026-08-05T01:09:11Z
txn_d88e5fb16169,acc_00347,667.24,SGD,completed,Guardian,applepay,2026-08-05T01:09:25Z
txn_ec9a58521f6b,acc_00183,23.84,SGD,completed,NTUC FairPrice,grabpay,2026-08-05T01:09:38Z
txn_3735608539f5,acc_00489,164.31,SGD,completed,Starbucks,applepay,2026-08-05T01:09:40Z
txn_fb5dece4f25f,acc_00352,618.53,SGD,pending,Guardian,grabpay,2026-08-05T01:09:53Z
txn_e6f5d9f39dee,acc_00072,897.64,SGD,completed,Cold Storage,paynow,2026-08-05T01:10:03Z
txn_987e40e73ca5,acc_00452,709.96,SGD,pending,Shopee,grabpay,2026-08-05T01:10:08Z
